108 6001
49 29 1090
7 73 2433
92 30 2150
29 11 2306
90 99 923
38 52 1477
71 37 944
73 66 2343
9 85 2102
98 107 941
87 90 1699
60 34 1926
63 72 566
73 101 1146
19 108 1628
70 34 195
106 24 616
64 78 1116
56 12 69
54 35 1633
52 103 1743
85 21 1568
48 76 1906
40 88 1331
30 106 1824
57 67 1580
62 80 2087
31 51 1420
25 106 1042
25 52 1715
3 103 764
56 95 2198
79 34 1265
46 17 781
59 76 1225
17 75 1919
5 98 1729
55 105 732
53 16 2501
12 101 1593
19 8 1253
5 41 1025
68 87 1828
34 54 536
67 37 1563
71 26 1160
17 22 2074
85 54 1755
96 46 2370
9 10 2167
32 73 1936
88 94 1434
17 69 1480
95 103 1651
38 61 1408
32 39 1649
15 55 2233
12 48 1464
62 51 1150
75 60 1274
15 107 2132
35 82 1336
103 75 1497
5 46 1389
66 11 662
96 66 1645
43 38 1367
73 37 814
32 15 844
6 25 1475
96 37 1569
33 70 1148
85 43 1753
60 31 1042
104 45 2028
54 13 2235
95 71 1518
97 35 1644
56 67 2081
64 88 1165
83 91 2150
107 16 2646
11 8 1754
8 13 1832
53 12 1863
9 27 2063
35 47 1410
30 60 2487
45 44 692
55 51 1781
87 25 2150
99 86 1146
19 16 1673
8 40 1107
29 69 2171
10 45 1979
20 23 1321
48 56 2152
107 100 2687
49 106 1892
73 27 2937
66 108 1550
97 53 2604
29 40 1533
97 87 2285
50 77 1231
58 5 1356
4 68 1531
10 67 158
70 7 1741
16 96 1099
77 69 1716
32 74 1111
27 10 1047
50 14 2474
82 63 1053
77 28 1870
18 47 846
107 56 1421
80 33 875
33 5 2016
81 94 2477
107 103 1600
48 8 1043
37 87 1842
100 22 1373
68 37 1151
86 8 468
35 88 1478
78 72 1598
98 83 411
83 80 1804
77 86 981
101 97 1804
79 96 1098
84 103 849
108 60 1713
23 108 219
2 20 1553
90 56 2109
64 81 1870
51 103 1363
94 2 2463
14 75 643
96 55 1951
5 22 1319
100 65 1628
63 7 1740
103 51 1379
42 82 2769
44 9 1273
51 89 1484
32 93 1731
51 95 2400
55 9 1606
57 10 1516
29 91 2033
52 74 1255
102 30 2624
91 95 1129
99 71 777
28 29 2278
64 76 1518
31 18 1480
65 88 1016
11 36 1502
72 81 784
103 24 1527
21 33 1941
104 15 1247
14 6 1466
100 33 2182
74 5 790
17 35 2348
54 7 1534
23 33 2214
93 12 2671
37 7 1786
37 25 639
68 89 954
73 24 1257
13 2 2892
17 56 1400
67 34 1618
74 100 1586
14 18 686
26 107 1442
32 20 2059
74 72 1723
3 31 2652
69 103 1612
18 24 1124
28 95 2199
77 2 1491
85 40 1677
102 45 1692
8 11 1105
27 46 1651
48 37 1397
8 48 631
41 87 1458
97 18 1855
99 32 391
100 27 1744
31 52 1456
92 85 1614
102 58 1623
39 11 535
51 75 1867
102 98 1575
16 31 2550
26 35 692
63 25 874
85 16 1637
67 73 2467
60 71 1136
25 3 886
51 17 693
44 7 2323
76 53 2732
101 87 1220
72 3 656
48 34 1045
15 1 1434
103 6 2075
103 57 563
45 89 851
105 95 1595
72 55 1454
64 49 863
27 51 1671
90 101 771
19 88 1389
19 29 1166
106 23 1350
71 18 625
105 47 1388
107 71 1210
70 81 635
10 18 868
61 104 1064
69 30 2239
48 95 2368
76 33 1990
7 100 1675
83 34 1763
48 35 831
66 86 1637
77 26 1375
15 92 1665
1 84 1019
49 74 1890
40 25 1784
79 93 1842
6 98 2323
56 66 2770
66 5 872
61 74 1018
86 38 933
85 61 1541
25 26 1403
80 66 2446
51 50 1149
72 56 1716
35 29 2350
101 33 1337
94 27 1503
60 5 605
97 89 1152
38 81 1389
82 13 2359
19 92 1964
104 50 2213
22 30 1692
86 64 920
75 56 2663
55 58 1894
96 25 1750
93 66 859
65 45 1032
91 93 1642
102 34 1713
31 79 1387
8 35 1059
55 36 1253
79 41 1653
108 25 1044
82 106 1330
45 90 1114
85 37 1385
45 83 987
104 107 2459
72 96 1517
107 32 1610
107 75 1726
14 7 1337
95 4 752
47 2 2935
90 91 914
97 24 1929
108 22 333
72 10 2556
86 57 619
28 44 2016
10 25 2239
17 64 1154
36 81 242
92 36 2582
33 49 1961
57 64 1130
100 103 1472
94 68 2078
13 3 2601
39 27 1910
71 90 536
106 79 878
67 51 973
102 76 2778
58 105 1663
14 25 1511
18 54 836
30 72 1336
68 7 2528
30 4 1304
44 98 946
84 20 1659
5 44 1472
40 76 2505
13 93 824
50 31 1017
52 49 847
11 20 1660
84 46 1348
91 37 1150
104 42 2181
56 99 2238
40 67 1834
86 106 1813
92 43 2778
74 37 1457
101 56 1597
92 9 1948
91 45 1602
102 86 2417
102 75 1945
1 91 1651
67 65 1525
80 22 1901
14 56 2326
12 22 2490
65 14 1515
103 13 1420
59 103 851
26 97 2544
81 90 1251
99 106 373
49 80 1841
100 51 1849
26 80 2178
94 108 1511
90 64 468
97 32 1561
108 59 1280
96 80 2123
93 83 1995
107 69 2260
78 26 1310
21 5 1010
100 39 1023
99 94 788
70 86 356
2 91 2460
60 48 1676
32 102 1051
6 54 2361
90 54 1788
8 61 2210
12 93 2465
50 18 1650
51 32 1191
28 94 1366
89 98 1801
1 38 1556
7 91 1107
4 52 2253
30 38 892
101 103 941
71 45 1317
69 16 2461
71 104 1363
24 40 1774
25 77 1416
47 75 1529
66 18 933
25 22 1522
33 17 2137
11 77 1650
28 57 1410
38 13 1638
95 53 2004
1 7 1953
79 8 1648
7 48 1403
79 81 1398
62 91 1535
21 27 1725
86 36 978
49 34 1833
14 79 510
85 65 1013
33 72 728
2 42 1341
3 11 1533
96 47 2136
30 2 812
62 38 1544
107 52 1063
28 38 2047
4 103 1152
52 82 2952
69 31 1579
71 57 1177
75 104 1849
104 13 2623
2 49 1636
55 56 587
27 8 2195
95 60 2030
96 20 1076
24 90 503
35 15 1291
47 63 2031
48 58 1659
96 19 2105
48 23 1857
90 31 1321
76 106 1733
64 33 2348
59 32 808
94 32 1517
71 34 834
26 92 973
35 61 934
87 40 1960
100 108 873
24 34 1250
1 81 2025
63 67 2084
78 45 1448
82 66 1836
50 106 1939
108 100 501
25 91 908
37 6 2070
98 92 1475
25 53 2149
40 22 1692
105 102 1297
44 95 739
1 31 1252
14 108 1479
5 9 2471
3 16 1643
25 89 1173
8 22 1922
88 62 288
18 10 1076
36 67 2020
38 8 691
85 14 1313
84 3 646
108 32 1453
32 97 2019
12 43 249
49 104 2467
3 108 1983
28 42 2110
49 93 1473
5 39 1312
86 15 1404
89 6 1878
96 6 1897
50 79 1964
92 44 2293
103 4 1746
50 52 936
68 102 2551
67 96 2158
79 76 1635
93 63 2061
46 91 1472
95 61 1872
94 12 2429
89 16 1478
99 13 1506
58 104 1268
2 79 1870
92 37 1485
104 23 1213
60 68 2260
59 51 1642
27 5 1652
39 71 1222
70 67 1777
82 96 479
94 22 2321
100 9 903
4 31 2069
17 54 1511
100 13 1817
37 62 1309
65 36 2259
11 22 1005
74 87 621
98 74 1324
21 58 2317
90 102 1347
102 4 1730
76 57 1233
105 39 1718
61 91 1015
18 56 2160
107 50 369
97 31 2707
80 6 2397
50 15 1818
66 25 1644
56 86 1824
5 38 1759
76 83 2274
5 64 230
50 100 2132
59 52 2134
57 27 2616
20 21 2637
72 5 2385
18 23 1069
100 55 2056
45 59 1917
108 11 940
51 60 1041
42 31 930
2 1 1328
94 73 1562
30 108 2184
72 95 1183
2 97 629
72 40 1125
38 47 1745
48 5 1152
107 28 2109
45 1 601
61 5 1128
25 51 1964
24 10 1031
3 97 1241
90 6 1906
6 15 1184
53 35 1627
67 62 1314
19 62 880
80 82 1652
12 40 759
36 65 2436
54 69 1747
35 74 683
3 58 2347
18 79 1362
105 44 1424
32 13 819
3 2 933
14 58 314
106 10 953
20 61 1015
30 105 1725
52 39 2505
96 18 1890
16 30 1570
22 75 1024
6 4 1963
41 80 2888
11 50 1492
24 54 997
93 13 980
36 69 2403
80 55 624
88 72 1336
1 54 1075
102 49 1695
13 35 1096
11 66 744
34 11 1404
34 40 905
85 108 1649
16 10 1871
86 32 671
65 55 1359
10 101 2064
58 44 2407
108 27 1852
99 53 1336
92 86 1750
87 27 1521
29 4 2293
68 4 1057
7 3 2595
77 33 859
69 57 1707
4 94 1686
47 38 1366
99 31 1837
93 50 2017
11 17 2118
62 64 1091
72 83 1515
41 8 2012
100 21 2037
57 83 1069
20 73 2248
75 73 2058
32 100 1626
17 21 485
78 85 1649
24 25 1217
80 32 1928
97 4 2271
25 68 1128
107 78 2703
7 52 2055
39 43 2296
91 30 2028
7 62 1557
55 19 644
74 76 2335
33 96 2555
2 12 953
27 35 1812
47 51 1202
17 80 2353
104 62 1472
96 86 1679
58 12 2678
32 71 625
83 89 1218
44 8 1467
104 75 1249
92 57 2640
41 6 378
98 18 1320
28 12 2589
6 10 1156
94 36 2007
8 79 1572
62 11 817
49 3 2425
102 15 1479
34 37 1099
39 54 2136
66 81 1568
72 107 2196
73 34 1600
97 20 2056
50 46 810
51 86 1599
69 1 2183
99 59 1213
27 73 2311
15 13 2028
88 85 879
106 73 2093
105 35 1397
34 101 952
37 108 1867
3 21 1872
75 96 1244
97 21 2738
3 33 338
102 103 1839
53 101 1968
49 43 1760
98 51 1307
18 19 1544
17 85 1186
53 86 1347
40 91 2244
50 93 1805
32 10 1245
42 16 1788
43 92 2660
33 34 1572
50 68 2376
82 61 680
42 38 1640
107 11 2501
59 74 1821
74 53 1324
16 3 1373
52 35 1882
94 100 1742
103 73 1535
64 6 1560
90 62 557
92 19 2063
59 1 1411
40 69 2231
56 71 2269
107 106 2331
12 103 1138
13 74 1152
93 48 1223
107 43 1580
78 29 1716
38 96 1891
1 94 1977
14 73 2454
18 84 1982
2 86 1358
84 86 859
69 9 2107
71 12 2093
74 7 1171
75 33 2122
39 58 613
79 87 1271
54 65 1794
64 101 1006
66 6 611
89 76 909
42 58 1912
10 24 1335
67 7 1101
36 100 1456
22 95 879
91 67 1417
62 59 1533
41 23 1227
46 74 1534
30 28 2656
70 2 1562
77 96 1906
99 96 1845
46 92 1800
28 50 1845
90 1 1880
38 39 1891
8 5 1820
67 107 1287
44 16 1470
37 18 675
61 16 1225
106 107 2341
41 49 2156
38 65 1913
76 11 1149
51 30 1462
71 76 1471
8 27 2365
44 61 2314
77 9 2398
66 50 1623
82 25 766
84 50 1665
3 60 2051
79 61 1333
62 30 2172
43 95 1266
65 74 1537
11 86 1714
22 34 1827
12 58 2229
87 26 1738
105 86 818
75 54 1566
28 83 1980
32 90 1008
63 58 1353
74 24 615
66 48 1232
92 45 2302
85 60 1052
30 103 1231
21 75 1737
14 9 1330
14 23 1322
11 64 701
18 73 1138
41 11 747
104 68 1641
40 104 2314
7 31 1131
1 92 2058
75 7 1300
99 4 1400
30 31 2017
77 18 1054
41 32 1241
67 3 2063
26 82 1823
38 28 1677
29 51 929
104 74 1684
2 77 1018
31 15 2334
31 5 723
75 3 1673
34 6 2347
75 87 1565
20 6 2102
103 46 847
6 27 868
8 103 489
14 77 2236
59 24 608
75 58 1091
92 89 2781
69 92 847
74 99 857
65 61 2522
15 53 2325
92 108 1885
45 43 1296
102 60 980
89 44 474
17 60 1391
90 88 1251
104 32 1820
103 47 2177
53 13 1523
95 57 958
12 67 2451
10 13 922
31 46 1024
67 22 1911
11 89 1666
23 12 1629
33 75 2379
86 103 784
72 51 2248
99 25 1564
13 71 1081
25 1 1311
70 6 2294
91 74 829
84 99 1780
8 65 1145
18 67 1528
42 51 464
21 43 2507
37 82 1522
42 79 1873
76 61 744
36 4 673
67 12 1991
21 12 2330
39 44 1991
21 64 1464
44 100 1615
29 49 767
81 84 1733
12 27 2989
58 93 586
61 22 564
46 15 1884
57 91 1392
62 29 1582
27 7 621
59 87 2112
101 15 740
32 14 806
30 12 705
108 73 1641
70 75 1913
96 81 1047
62 75 906
104 81 1170
11 52 2063
40 83 753
96 83 2081
62 6 1273
84 35 1993
92 49 1182
58 48 1849
31 37 1551
105 69 1328
93 108 2025
36 32 1851
32 108 1610
2 5 2108
86 99 1322
69 56 2257
19 103 1434
65 31 928
76 62 1441
65 97 1622
1 15 2032
48 30 1952
49 35 1336
42 106 1756
48 87 351
103 95 828
5 25 1416
36 14 1818
46 80 1567
34 42 2003
64 80 1578
94 85 1170
14 33 2189
62 27 1809
56 29 1361
106 20 1683
106 77 1509
47 93 964
49 86 2166
49 24 1719
18 66 1155
90 94 843
58 54 1984
77 43 1372
53 17 893
37 30 1521
100 15 1082
3 48 1400
67 88 1444
85 45 1506
82 47 2395
51 55 1074
92 61 1713
29 73 1557
59 56 2129
66 58 805
38 33 959
56 25 1677
16 32 1952
23 77 2266
73 23 1311
39 103 1785
68 84 1411
66 101 1351
51 7 1213
82 38 1964
105 22 1185
37 36 1274
92 46 1543
98 100 1366
80 51 1530
36 84 1881
58 73 1862
95 105 1410
24 102 1218
29 41 2336
95 78 1418
87 53 675
71 46 1156
41 22 1910
9 61 1280
61 52 2210
56 31 2561
96 102 1911
81 54 998
26 38 1328
87 31 813
96 88 1990
85 23 1618
103 74 1911
106 67 1398
79 29 2330
19 107 1752
99 24 724
50 19 1778
33 61 2551
20 37 1662
83 81 1847
105 91 980
10 77 1615
100 17 1730
33 76 1857
51 22 2419
72 54 1458
37 79 1404
25 29 1647
47 49 1796
18 14 743
66 106 506
7 95 1870
53 44 2126
27 57 2425
28 10 1602
90 58 1529
35 30 1198
49 9 2275
46 64 1308
33 43 620
61 96 507
59 104 775
76 45 1486
102 101 2135
42 28 1645
73 38 1100
72 100 1838
61 24 954
45 35 1714
26 15 1218
86 92 1621
48 85 881
67 35 1300
94 96 1782
30 59 1213
61 27 1434
10 6 962
65 18 689
91 49 1882
84 48 1568
23 41 1593
95 20 1302
96 23 904
104 77 2195
65 60 1933
98 71 713
54 22 1710
102 48 750
34 32 872
16 35 975
31 22 2514
56 39 2757
51 23 1760
71 33 2257
106 97 2014
81 103 1565
71 48 541
36 57 658
39 106 1067
59 88 1638
7 34 1472
51 35 1360
54 32 1816
99 21 1104
15 91 949
77 34 1384
61 72 2077
1 19 1093
67 108 2313
63 55 1573
4 46 2200
76 5 1799
89 58 1825
95 55 2002
58 31 1968
79 32 662
101 88 697
36 75 1173
48 81 1329
53 107 1169
47 45 1526
55 32 1321
41 24 1073
73 94 2256
16 60 2249
17 95 2728
97 77 1257
71 22 1706
107 85 1688
6 24 986
108 6 1392
93 58 1518
18 96 1695
8 58 1921
11 56 2078
70 29 1562
79 7 942
8 28 1760
92 35 1364
67 91 2297
19 58 1780
106 6 1542
1 48 1219
55 102 2179
2 104 2428
78 107 2648
37 105 462
102 88 1384
31 44 2644
31 107 1261
15 51 1631
76 21 2295
85 73 1805
99 51 795
108 30 1667
23 31 1714
83 94 857
81 75 1513
91 14 1162
86 33 1078
29 68 2190
41 17 2037
49 32 1084
62 74 1432
47 24 1214
29 47 1811
46 45 1031
82 22 623
40 66 1970
59 100 1221
7 24 965
33 53 1999
77 8 1066
76 46 2333
12 87 1764
24 76 2012
82 83 2537
104 106 1655
67 68 2530
75 101 1672
65 85 1070
55 68 1112
33 31 2698
8 33 1014
48 108 1218
63 33 1059
70 99 1446
78 103 1930
71 38 1415
64 9 2092
11 76 1205
107 83 1053
33 22 2352
95 58 1896
65 90 901
104 96 515
95 69 2040
105 14 1799
35 68 1298
51 42 207
1 40 618
99 85 551
12 38 1710
35 67 1964
47 55 1630
49 31 1087
63 95 599
29 50 1195
26 47 1453
104 24 1866
88 1 1357
7 49 2009
16 1 2456
78 4 1764
56 64 1665
84 58 2619
21 107 745
56 57 1379
10 27 955
34 100 1343
16 95 1196
68 101 767
42 25 1336
59 102 2254
31 39 2376
104 89 1629
71 50 965
32 83 591
39 6 1860
62 73 1917
25 6 1495
37 63 769
102 1 2119
51 104 2146
35 6 1984
91 72 2052
65 83 981
75 36 1809
78 60 1342
105 64 949
79 43 2437
106 93 1259
51 56 1553
14 70 2033
89 36 507
69 7 460
98 21 1256
70 42 2033
37 103 273
88 75 1058
92 83 1478
76 86 1401
4 44 1752
84 5 2305
107 38 1303
51 48 795
96 48 1530
8 50 1170
31 19 1788
30 101 1390
59 72 1530
78 7 508
54 28 2385
68 81 1114
10 21 803
13 84 2479
12 18 1460
77 104 2733
95 91 1800
16 18 1112
103 107 1184
18 5 1209
45 93 2473
33 29 1852
69 59 1852
44 6 2101
78 84 2354
58 71 1493
53 37 1334
70 78 2027
68 88 1870
88 43 1223
64 8 828
24 66 884
68 71 2087
53 62 1435
105 23 1218
17 18 1409
12 96 2733
54 19 528
105 8 777
80 94 2077
40 64 1155
72 8 1680
67 5 447
22 68 1673
54 101 1079
65 89 1906
11 51 1385
108 99 1617
96 85 1760
27 56 3333
99 63 1674
73 83 1527
2 59 1268
104 27 2731
88 52 1712
64 82 2079
80 72 884
72 17 1691
8 23 1286
52 95 2723
12 4 1798
93 43 2438
98 52 1353
86 51 1751
60 22 1515
46 69 1642
33 80 723
79 89 1071
83 93 1812
41 77 1638
60 67 724
51 45 963
44 3 720
58 88 1224
75 94 1788
35 103 811
44 2 1472
34 94 1518
75 79 930
79 92 1421
5 28 1111
69 39 2017
18 34 945
108 35 500
34 30 1257
55 53 1785
56 54 1325
58 40 2742
28 39 448
96 9 875
85 107 1633
31 62 1343
64 13 480
99 97 2262
36 55 1131
105 49 1152
54 104 1486
97 34 887
38 76 1229
31 90 1280
61 60 1341
58 39 1445
65 9 2578
77 15 1975
49 79 1839
1 30 967
33 9 1760
55 85 1977
4 15 1197
51 80 1665
77 100 2395
107 45 1215
4 79 1304
101 75 1633
2 8 922
35 16 861
105 9 1196
17 39 2781
57 78 1993
19 54 896
72 102 2273
12 105 1856
80 52 2452
81 19 962
50 85 1565
33 11 1804
103 14 1691
94 78 1872
41 38 1502
53 78 1505
90 41 1316
77 92 1850
49 2 2211
98 102 1650
38 4 1608
56 19 560
69 4 1737
55 77 1028
20 25 822
74 3 1833
42 94 1184
90 4 907
60 24 1169
25 96 1604
76 72 947
5 18 711
52 37 1966
28 48 1145
104 8 1652
38 9 1085
35 12 2059
22 25 1403
45 41 2217
32 91 1248
104 36 1578
29 74 1972
82 11 1641
21 57 1928
75 53 1930
79 106 491
61 32 1914
50 69 2006
42 64 976
10 1 1648
45 82 1638
108 10 2344
83 84 814
66 70 1814
77 75 1942
16 94 1704
69 83 1925
6 72 1953
21 81 2088
93 76 2211
56 15 1622
51 52 985
51 18 953
53 36 2734
4 10 1743
72 108 1661
41 21 1727
9 32 1388
102 107 1403
39 23 526
53 29 759
12 60 2408
29 14 2150
85 90 526
64 106 836
65 84 1785
85 35 817
56 23 1789
3 61 2085
55 89 1045
83 56 1756
39 83 1519
96 95 1507
78 51 2229
24 43 1670
53 34 1926
91 36 1152
41 106 1491
49 88 1577
106 21 2094
51 44 1747
46 21 830
98 54 1416
9 29 2687
61 106 639
60 17 2026
51 74 1307
7 53 1687
58 35 1266
61 45 2204
106 66 951
95 27 2163
83 24 1042
88 17 1505
14 15 728
67 103 2097
9 5 1812
106 65 1847
78 62 1518
5 49 1645
9 39 1519
36 74 2201
15 8 1308
11 19 1707
88 27 1888
101 73 946
30 11 1450
81 89 1138
13 65 1240
43 72 1642
87 1 1552
1 39 2265
61 55 2341
23 100 1428
33 51 1645
97 39 2001
19 66 2274
47 22 1967
106 1 2150
49 48 663
8 14 1705
24 106 465
33 32 1885
88 13 742
45 5 1453
21 99 1332
12 8 797
16 56 2252
59 79 668
103 71 627
34 68 1144
97 6 3146
36 56 1767
48 16 1516
68 39 1091
102 59 2432
37 71 777
39 63 1151
25 13 2302
96 71 2248
84 92 2095
27 39 2094
74 70 1681
50 17 501
59 75 1350
4 53 2087
70 84 1201
68 97 1376
72 75 2158
50 90 1772
34 71 1465
90 53 1619
72 86 1107
33 101 1231
10 100 1522
14 76 1520
78 39 1102
98 97 1838
75 42 2011
38 19 1179
5 56 1794
62 44 1716
6 13 1557
93 26 1300
83 14 1659
50 78 1612
2 34 919
88 61 1685
105 6 1354
40 52 1531
68 28 2225
6 58 1003
35 26 987
38 105 287
13 14 1604
67 101 2245
49 60 1512
45 81 1861
100 25 1283
64 66 1359
66 100 1153
42 40 1260
80 36 1591
92 50 1219
76 6 1863
7 50 2031
38 45 1124
89 13 1974
87 34 1625
19 76 1680
69 29 1405
4 100 934
21 91 2173
92 39 2085
44 62 1320
57 26 1772
43 5 2623
36 23 877
85 64 133
62 93 1487
44 58 1912
80 40 1210
80 95 1201
15 48 1687
87 74 1429
37 78 1282
89 8 1179
65 72 2307
18 72 1407
13 10 105
13 28 1563
40 17 1018
21 48 756
98 34 865
26 84 2101
59 47 1697
81 69 2492
63 51 1738
68 79 1660
49 23 1818
101 43 1954
82 48 2510
42 60 2020
28 62 1114
96 78 900
65 69 1824
72 14 2236
88 95 1336
40 103 787
91 100 724
19 33 887
7 18 1123
35 9 881
12 3 1110
102 91 2136
83 30 1733
34 69 2255
90 75 1099
49 94 1302
105 37 624
87 72 2320
26 83 1881
93 92 828
65 34 1713
55 64 1539
104 40 1736
80 107 2040
62 37 842
63 15 1747
86 27 2595
77 6 2528
77 31 1559
95 15 1015
79 95 1559
108 79 747
56 59 1553
70 37 709
14 80 2629
44 102 2477
71 52 1570
101 95 1022
4 65 2068
49 45 1622
64 31 937
27 90 2199
96 34 1177
54 45 1203
10 7 1089
47 27 1153
55 30 1154
59 2 1956
15 47 1891
74 103 1120
16 102 2656
36 64 1886
50 73 1336
23 99 1151
85 34 918
11 105 966
85 27 1484
44 13 2612
24 107 1534
22 100 1360
3 74 2416
101 53 1342
42 18 1632
12 44 919
107 1 965
27 19 2011
51 3 1955
75 17 2441
6 67 1367
14 90 812
48 63 1485
33 12 923
68 26 1620
39 53 2560
104 103 1052
10 85 1362
90 107 1231
100 12 1867
20 22 735
41 69 503
11 58 1397
100 90 986
32 46 850
100 45 1582
95 63 571
13 4 1921
3 40 1515
94 8 1097
59 19 1083
56 41 2362
13 88 1099
23 80 1240
29 66 1916
43 44 1155
55 21 1990
85 51 906
82 1 1944
86 73 1117
63 85 1860
18 86 1079
90 32 938
51 90 825
30 95 1227
44 87 1997
37 28 1607
13 31 1136
75 105 956
17 30 1816
3 28 2172
25 78 1359
71 107 1732
57 58 1450
93 30 3111
103 5 1869
23 35 410
103 22 1370
5 24 915
63 49 2260
83 52 1319
80 71 2084
6 51 2097
9 66 1319
42 97 1581
38 87 1264
12 75 1937
23 27 2510
10 5 1102
43 98 1260
21 103 1892
24 37 1071
80 103 911
29 107 803
25 75 967
36 42 2267
74 84 2509
84 89 1415
86 70 557
53 94 849
71 17 1590
58 27 1037
91 58 1345
23 25 708
74 82 2283
56 73 1193
47 53 1805
80 54 825
42 49 375
61 9 1383
3 54 1143
83 92 1481
73 80 757
37 70 1263
106 29 2358
95 8 1248
14 104 1401
22 81 1701
23 83 1582
98 73 1403
89 35 1067
69 6 782
106 92 1223
11 12 1948
87 84 1907
23 3 1893
73 98 1150
103 101 1060
86 10 1789
55 91 1928
81 102 2075
81 41 2463
45 29 1086
9 35 1664
12 30 426
21 98 1015
90 51 1457
88 54 1633
98 65 736
68 53 2495
53 51 273
106 100 490
51 1 1494
97 45 1597
82 50 2311
8 104 2160
36 12 1759
50 1 977
26 51 1690
93 55 2323
48 20 1839
36 60 2066
76 99 1288
25 99 1524
35 3 1558
36 85 1704
86 59 943
48 9 2391
9 36 1515
75 71 1513
62 47 1233
25 87 2250
72 15 1688
107 33 1461
50 9 2922
43 83 1816
82 78 1578
91 21 2089
73 91 2251
22 20 1128
84 52 2211
78 92 1143
60 49 1224
15 97 2332
91 81 1825
66 54 1349
31 45 1800
90 14 1460
106 89 2045
37 96 1636
67 84 1770
80 46 1488
68 22 1622
49 78 1811
70 17 2174
33 69 2263
101 106 1529
14 82 1666
80 74 1789
67 11 1725
27 33 2949
10 73 2494
86 14 1592
28 63 1950
31 72 2527
85 93 1058
43 12 968
85 44 1813
32 38 1144
72 63 823
4 41 1400
107 102 1669
90 103 1180
36 95 603
45 46 880
38 22 1539
1 53 655
76 16 316
70 60 1854
69 26 1577
44 74 2211
41 84 2681
77 71 1514
13 8 1198
66 45 1965
83 6 2213
50 37 1142
54 25 1087
31 50 972
6 69 1223
99 70 1634
83 48 848
82 69 1762
103 59 732
74 108 1153
59 89 744
20 5 2069
50 70 1554
19 2 1281
82 84 1998
45 73 1117
68 83 2259
4 48 2235
84 14 2427
104 52 2729
62 36 2251
26 9 1032
60 10 715
34 1 1754
94 89 2229
53 63 1979
98 31 866
73 82 2124
85 41 610
41 93 1010
82 9 232
50 67 1641
18 52 1881
31 12 2644
20 14 1949
51 102 1803
35 19 1460
43 63 900
51 107 1006
55 43 1045
90 44 908
17 57 2201
29 82 2839
52 89 1801
18 59 1137
15 10 2097
32 82 2036
7 40 2565
51 12 1987
50 22 2072
101 3 938
48 105 830
15 31 2032
16 14 1825
22 53 2052
18 46 1160
46 107 1071
60 64 667
68 56 1146
91 99 1467
14 84 2232
94 101 1652
54 5 2149
104 86 1493
47 59 1379
102 26 1287
71 1 1577
57 22 1990
9 53 2158
26 75 971
70 36 911
61 66 1085
27 103 2232
108 52 2496
18 4 1468
26 72 1862
52 97 2236
29 24 2081
108 71 1313
89 23 978
27 47 766
10 40 1905
13 48 765
34 41 1628
43 20 2480
50 89 1900
76 20 954
88 84 1429
80 50 2224
53 72 2073
22 23 1080
80 104 1364
38 17 1689
58 46 1693
107 42 1033
102 70 1779
93 57 2643
28 19 2128
19 48 1288
58 21 1543
29 16 2613
105 31 1925
43 46 1404
41 97 2552
25 24 1009
69 10 1338
98 55 1309
63 28 2078
75 59 710
40 101 1225
51 79 1221
9 47 2057
84 43 376
105 20 1680
11 34 1452
53 4 1889
5 102 1105
2 61 2533
26 108 972
54 79 1556
66 98 1355
27 14 1098
60 100 1783
13 60 648
70 44 515
90 37 861
52 16 2290
5 51 1468
32 105 666
18 13 928
23 93 2097
35 54 1828
106 31 1448
106 53 2076
100 80 2403
11 100 799
7 98 1566
91 20 1354
34 19 1260
39 70 1523
85 31 1149
5 29 1403
100 58 956
91 29 2170
101 36 1031
99 34 1472
6 22 1664
92 21 1192
14 92 1172
42 108 2109
87 33 2638
20 39 752
15 27 1822
102 108 2089
57 28 1960
66 76 1282
16 91 1173
22 36 1621
73 54 364
67 102 1323
102 32 1311
107 74 1857
6 84 2105
74 68 2358
32 52 1950
63 50 2467
84 102 2049
64 63 1275
98 15 1573
102 29 1726
13 69 589
24 17 1621
108 7 1818
83 29 1090
42 13 1115
65 47 785
11 85 1105
12 9 2572
95 21 2014
28 47 1806
107 92 1727
50 98 1155
23 52 2333
33 28 2491
57 72 317
43 93 2767
64 61 1322
19 28 2215
72 93 2276
35 92 1879
48 15 1458
76 47 2113
73 3 743
83 25 1791
74 96 1740
44 77 1645
74 25 1424
28 17 2007
29 58 2463
10 61 1470
82 68 1542
15 75 410
89 42 1604
54 2 1314
34 35 1005
2 39 2581
27 11 1345
59 12 1371
8 97 1575
62 18 588
71 7 1616
52 65 844
13 66 980
46 8 988
63 46 1291
105 73 793
55 84 373
79 72 1183
54 71 933
3 76 1620
97 43 768
104 101 1078
57 16 1510
40 12 751
10 99 1083
80 62 2129
78 80 2363
32 37 1241
74 55 1713
83 44 1729
6 29 1660
35 84 1888
68 2 1462
41 81 1725
65 40 1691
34 27 2736
94 15 2018
61 62 1611
32 27 1984
14 17 2261
69 22 2360
31 88 1263
93 44 2652
56 94 2010
13 79 1541
28 14 424
17 87 1191
85 17 1539
28 73 2410
73 12 1237
103 104 1848
79 38 862
20 85 2159
93 82 2421
88 86 1650
104 12 1829
84 36 1593
95 67 2879
105 68 1208
101 38 392
80 73 1430
103 106 1257
87 95 2195
66 72 2173
61 99 1175
52 26 2254
54 92 1877
46 60 1038
12 72 1247
